기준년월,구단위코드,구, 유동인구수 
2022-10,48121,의창구,17285468
2022-10,48123,성산구,23676880
2022-10,48125,마산합포구,16375569
2022-10,48127,마산회원구,14275937
2022-10,48129,진해구,14201601
2022-11,48121,의창구,16601049
2022-11,48123,성산구,23457824
2022-11,48125,마산합포구,15636846
2022-11,48127,마산회원구,13969685
2022-11,48129,진해구,13706191
